record_id,timestamp,client_ip,field_a,field_b,field_c,field_d,field_e,field_f,dataset_split,is_anomaly
4db3c29a-6b6a-4692-ad16-0a41c82898d3,2026-05-01 05:06:51,192.168.4.79,POST,/api/v1/checkout,ALLOW,Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0,73.77,,train,0
3b2a1e3c-2877-4454-bc06-cce1c755f5cc,2026-05-01 13:20:49,192.168.1.246,GET,/api/v1/dashboard/stats,ALLOW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",185.97,,test,0
59fc52da-ad75-4820-9b44-cd8edd8a9f5e,2026-05-01 03:20:44,192.168.8.133,GET,/api/v1/cart/items,ALLOW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",96.87,,train,0
2ab54be7-9ec2-482c-856f-2086482494ce,2026-05-01 12:24:43,192.168.4.166,GET,/api/v1/notifications,ALLOW,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",52.69,,test,0
cfbceddb-0f1b-45c7-a4ac-86b2eac9b13d,2026-05-01 05:53:44,192.168.8.82,GET,/api/v1/auth/login,ALLOW,Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0,203.42,,train,0
86583de6-fd11-48ca-862b-9e6ebb6e6e59,2026-05-01 03:29:04,192.168.3.96,POST,/api/v1/checkout,ALLOW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",55.63,,train,0
afa86921-c28a-4449-8c02-0384a7a133ab,2026-05-01 12:51:12,192.168.4.236,GET,/static/css/main.css,ALLOW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",50.17,,test,0
bd2509b2-cb09-4153-bb3a-eaac3c1f86b6,2026-05-01 11:48:42,192.168.9.121,POST,/api/v1/cart/items,ALLOW,Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0,179.77,,test,0
422500c2-18c4-4bf0-abad-b54de076a302,2026-05-01 00:20:07,192.168.7.14,GET,/static/css/main.css,ALLOW,Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0,137.72,,train,0
0305aa55-0c4f-4aaf-9bb6-9413bac252a7,2026-05-01 07:16:42,192.168.8.110,POST,/api/v1/notifications,ALLOW,Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0,239.3,,train,0
